"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary Dryer","Washer-Dryer Matched Pair","Dryer Fuel","Dryer Gas Line Available","Heat Pump Dryer","Dryer Vented","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00005653","SITE_01732","Room_00021328","Dryer","Yes",2005,,"N/A","Kenmore","417.94702300","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005526","SITE_01734","Room_00021346","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","Ler4624dqo","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005455","SITE_01735","Room_00021356","Dryer","Yes",1999,,"N/A","General Electric","WSM2700WAWWW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005493","SITE_01736","Room_00021369","Dryer","Unknown",,"Unknown","Unknown","Kenmore","86821100","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005546","SITE_01738","Room_00021390","Dryer","Yes",2007,,"N/A","General Electric","DSXH43EF0WW","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00005725","SITE_01740","Room_00021403","Dryer","Unknown",,"Unknown","Unknown","Kenmore","66712692","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00005442","SITE_01741","Room_00021413","Dryer","Unknown",,"Unknown","Unknown","Hotpoint","Htdx100em6ww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005487","SITE_01742","Room_00021419","Dryer","Unknown",,"Unknown","Unknown","General Electric","Wsm2400laewh","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005771","SITE_01743","Room_00021429","Dryer","Unknown",,"Unknown","Unknown","General Electric","DDE7500GALAD","No","Yes","No","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005586","SITE_01745","Room_00021447","Dryer","Unknown",,"Unknown","Unknown","General Electric","Gtx18essj0ww","No","Yes","No","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005603","SITE_01751","Room_00021498","Dryer","Yes",2008,,"N/A","General Electric","Wsm2700hbww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00005589","SITE_01752","Room_00021503","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","Le5700xsn0","No","Yes","No","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00005680","SITE_01753","Room_00021514","Dryer","Unknown",,"Unknown","Unknown","Maytag","MED7500YW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005537","SITE_01756","Room_00021541","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","LEQ8621PW0","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005587","SITE_01758","Room_00021562","Dryer","Unknown",,"Unknown","MU2112156","Whirlpool","Wet3300sq0","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00023990","SITE_01758","Room_00021562","Dryer","No",2007,,"MU2112156","Whirlpool","Wet3300sq0","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005504","SITE_01761","Room_00021589","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","GEW9250PW0","No","Yes","No","Electric","No","No","Yes","No","N/A","Office_1","Office"
"Appliance_00005585","SITE_01762","Room_00021595","Dryer","Unknown",,"Unknown","Unknown","General Electric","DSKS433EB1WW","No","Yes","No","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00005536","SITE_01763","Room_00021605","Dryer","Unknown",,"Unknown","Unknown","Kenmore","110.61202011","No","Yes","No","Electric","No","No","Yes","No","N/A","Bathroom_2","Bathroom"
"Appliance_00005584","SITE_01764","Room_00021614","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","LHE4930W0","No","Yes","No","Electric","No","No","No","No","Vent broken","Hall_2","Hall"
"Appliance_00005568","SITE_01765","Room_00021621","Dryer","Yes",1999,,"N/A","General Electric","WSM2700WAWWW","No","Yes","Unknown","Unknown","Unknown","No","Unknown","No","N/A","Closet_1","Closet"
"Appliance_00005486","SITE_01767","Room_00021641","Dryer","Unknown",,"Unknown","Unknown","General Electric","Dsks433eb1ww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00005601","SITE_01777","Room_00021700","Dryer","Unknown",,"Unknown","Unknown","General Electric","Gtun275em1ww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005602","SITE_01781","Room_00021726","Dryer","Unknown",,"Unknown","Unknown","Bosch","Wta3510uc","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006042","SITE_01782","Room_00021736","Dryer","No",2014,,"M43385769","Admiral","AED4675YQ1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006043","SITE_01786","Room_00021772","Dryer","Yes",2004,,"N/A","General Electric","Dsxh43ea3ww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006044","SITE_01788","Room_00021782","Dryer","Yes",2012,,"N/A","Frigidaire","Faqe7001lw0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00006045","SITE_01789","Room_00021793","Dryer","No",1999,,"MJ0629108","Kenmore","110.66912692","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006046","SITE_01790","Room_00021805","Dryer","Yes",2015,,"N/A","Samsung","Dv42h5000gw/a3","No","Yes","No","Natural Gas","Yes","No","Yes","No","Homeowner said it was gas.","Laundry_1","Laundry"
"Appliance_00006047","SITE_01791","Room_00021819","Dryer","No",,"Unknown","Unknown","Whirlpool","WED9151YW0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006048","SITE_01793","Room_00021839","Dryer","No",,"Unknown","Unknown","Kenmore","110.63022101","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005444","SITE_01795","Room_00021860","Dryer","Unknown",,"Unknown","Unknown","Hotpoint","NVLR333EV0WW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00005509","SITE_01796","Room_00021870","Dryer","Unknown",,"Unknown","Unknown","Amana","LEM547W","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005441","SITE_01799","Room_00021902","Dryer","Yes",2006,,"N/A","General Electric","Wsm2700dawww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00023988","SITE_01799","Room_00021902","Dryer","No",,"Unknown","Unknown","General Electric","Unknown","Unknown","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005473","SITE_01800","Room_00021912","Dryer","Unknown",,"Unknown","Unknown","Kenmore","401KWNM6C839","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00005523","SITE_01802","Room_00021933","Dryer","Unknown",,"Unknown","Unknown","Maytag","Mde6800ayw","No","Yes","No","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00005481","SITE_01803","Room_00021942","Dryer","Unknown",,"Unknown","Unknown","General Electric","WSM2420D3WW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005671","SITE_01804","Room_00021945","Dryer","Unknown",,"Unknown","Unknown","Whirlpool","Wed70hebw0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005437","SITE_01805","Room_00021957","Dryer","Yes",2008,,"N/A","Maytag","Mde2400ayw","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00005518","SITE_01809","Room_00021988","Dryer","Yes",2004,,"N/A","Frigidaire","Gleq332as2","No","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Hall_8","Hall"
"Appliance_00023989","SITE_01810","Room_00021998","Dryer","No",2015,,"4E51602947","Kenmore","417.61722510","No","Yes","No","Electric","Unknown","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00005519","SITE_01817","Room_00022053","Dryer","Unknown",,"Unknown","Unknown","General Electric","Dbxr453et3ww","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00023743","SITE_01818",,"Dryer","Yes",1997,,"Unknown","Whirlpool","Unknown","No","Yes","Yes","Electric","No","No","Yes","N/A","N/A","Unknown","Mechanical"
"Appliance_00005447","SITE_01819","Room_00022071","Dryer","Unknown",,"Unknown","Unknown","Amana","NED4600YQ1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006049","SITE_01820","Room_00022080","Dryer","No",2006,,"MT3602379","Kenmore","110.87571601","No","Yes","No","Electric","No","No","Yes","No","Dryer vent exists, but does not vent well, room significantly warmer when dryer is run","Laundry_1","Laundry"
"Appliance_00006050","SITE_01821","Room_00022093","Dryer","No",,"Unknown","M2138709","Whirlpool","Wed7300xw0","Yes","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006051","SITE_01822","Room_00022108","Dryer","No",2004,,"MR0817563","Roper","Res7646kq2","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006052","SITE_01823","Room_00022116","Dryer","No",2014,,"M45056568","Amana","NED4600YQ1","No","Yes","No","Electric","No","No","Yes","No","N/A","Kitchen_2","Kitchen"
"Appliance_00006053","SITE_01824","Room_00022132","Dryer","No",1997,,"MG4641429","Whirlpool","Ler7646eq0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006054","SITE_01825","Room_00022140","Dryer","No",1999,,"MJ3122619","Whirlpool","Ler5636eq3","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006055","SITE_01826","Room_00022157","Dryer","No",2015,,"0AHY5BBGC01810W","Samsung","DV48J7700EW/A2","Yes","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006056","SITE_01827","Room_00022165","Dryer","No",2004,,"MR3718999","Whirlpool","LER5636PQ0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006057","SITE_01828","Room_00022184","Dryer","Yes",2015,,"N/A","Samsung","Dv42h5600ep/a3","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00006058","SITE_01829","Room_00022189","Dryer","No",1992,,"MB4007324","Whirlpool","Le5720xsw1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006059","SITE_01830","Room_00022201","Dryer","No",2000,,"MR22110628","Estate","TEDX640JQ2","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006060","SITE_01831","Room_00022206","Dryer","No",,"Unknown","MU410954","Sears","110.87087601","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006061","SITE_01832","Room_00022232","Dryer","No",2015,,"M51205977","Kenmore","110.6022510","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00006062","SITE_01833","Room_00022237","Dryer","No",1993,,"S 9309049321","Amana","Le4407w","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00006063","SITE_01834","Room_00022258","Dryer","No",2015,,"510KWNM1Z223","LG","Dle3050w","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006064","SITE_01835","Room_00022260","Dryer","No",2013,,"312KWYP7L442","LG","DLE1001W","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00006065","SITE_01836","Room_00022274","Dryer","No",1980,,"XD13507889","Kenmore","417.8104200","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006066","SITE_01837","Room_00022293","Dryer","No",2005,,"MS5037751","Kenmore","110.66962500","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006067","SITE_01838","Room_00022308","Dryer","No",2009,,"MY4511686","Maytag","Medc400vw0","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006068","SITE_01839","Room_00022327","Dryer","No",2004,,"MR2207657","Kenmore","110.64852400","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Other_2","Other"
"Appliance_00006069","SITE_01840","Room_00022336","Dryer","Yes",2015,,"N/A","Electrolux","EIMED60JIW6","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006070","SITE_01841","Room_00022350","Dryer","No",,"Unknown","Unknown","Kenmore","Unknown","No","Yes","Yes","Electric","No","No","Yes","No","No access to nameplate, dryer in use","Hall_1","Hall"
"Appliance_00006071","SITE_01842","Room_00022356","Dryer","No",2001,,"S 0112108663","Amana","ALE331RAW","No","Yes","Yes","Electric","Yes","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006072","SITE_01843","Room_00022371","Dryer","No",2007,,"MU5186926","Roper","Red4340sq1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006073","SITE_01844","Room_00022382","Dryer","No",2002,,"10276044AN","Amana","Ale866sbw","No","Yes","Yes","Electric","No","No","Yes","No","5750 watts","Laundry_2","Laundry"
"Appliance_00006074","SITE_01846","Room_00022413","Dryer","No",2000,,"10484168YZ","Maytag","Mde5500ayw","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006075","SITE_01847","Room_00022434","Dryer","No",,"Unknown","M74508807","Kenmore","Unknown","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006076","SITE_01848","Room_00022441","Dryer","No",1978,,"835265 AV","Maytag","Lde309","No","Yes","No","Electric","No","No","Yes","No","5600 watts","Laundry_1","Laundry"
"Appliance_00006077","SITE_01849","Room_00022455","Dryer","No",2009,,"GS717248A","General Electric","Dpse810eg5wt","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006078","SITE_01850","Room_00022470","Dryer","No",2007,,"MU2643761","Whirlpool","Wed5500sq0","No","Yes","No","Electric","No","No","Yes","No","N/A","Bathroom_1","Bathroom"
"Appliance_00006079","SITE_01851","Room_00022480","Dryer","No",2013,,"M33227270","Maytag","Medc300xw1","No","Yes","Yes","Natural Gas","No","No","Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00006080","SITE_01852","Room_00022499","Dryer","No",2001,,"ML5002245","KitchenAid","KEYS850JQ1","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006081","SITE_01853","Room_00022511","Dryer","No",2011,,"VV732015A","General Electric","Dbxr453evowww","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006082","SITE_01854","Room_00022517","Dryer","No",2009,,"009KWZH00813","Kenmore","796.40512900","No","Yes","Yes","Unknown","Yes","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006083","SITE_01855","Room_00022535","Dryer","No",2001,,"M24201136","Kenmore","110.86345100","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006084","SITE_01856","Room_00022542","Dryer","No",,"Unknown","Unknown","Samsung","Unknown","Unknown","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006085","SITE_01857","Room_00022559","Dryer","No",1999,,"10753838WH","Maytag","Mde9557ayw","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006086","SITE_01858","Room_00022568","Dryer","No",2014,,"M64876951","Kenmore","110.65132411","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00006596","SITE_01860","Room_00022605","Dryer","No",,"Unknown","M32565580","Maytag","MEDC200XW3","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00006587","SITE_01861","Room_00022616","Dryer","No",2015,,"RF703135C","Hotpoint","HTDX100ED6WW","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006601","SITE_01862","Room_00022623","Dryer","No",2006,,"Mt3025125","Kenmore","110.66732501","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_6","Bathroom"
"Appliance_00006582","SITE_01863","Room_00022625","Dryer","No",2004,,"MR2507125","Estate","TEDX640PQ0","No","Yes","No","Electric","No","No","Yes","No","N/A","Bathroom_6","Bathroom"
"Appliance_00006600","SITE_01864","Room_00022635","Dryer","No",2012,,"M23423568","Maytag","Medx500xw0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006570","SITE_01865","Room_00022650","Dryer","No",,"Unknown","5543299CA","Maytag","mde5500ayw","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006581","SITE_01866","Room_00022658","Dryer","No",1989,,"228764 XV","Maytag","LDE313","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006588","SITE_01867","Room_00022683","Dryer","No",,"Unknown","MR0615732","Kenmore","110.62822101","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006603","SITE_01868","Room_00022693","Dryer","No",2011,,"M14419765","Maytag","Medx700xw0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006087","SITE_01869","Room_00022701","Dryer","Yes",1992,,"N/A","Frigidaire","DEDF-W-3","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006554","SITE_01870","Room_00022709","Dryer","No",,"Unknown","ML2502350","Whirlpool","Teds840jq0","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00006586","SITE_01871","Room_00022719","Dryer","No",,"Unknown","703KWRE91126","LG","DLE3170W","Yes","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00023996","SITE_01876","Room_00022771","Dryer","No",2002,,"MM4746684","Whirlpool","LTE5243DQ3","No","Yes","No","Electric","Unknown","No","Yes","No","N/A","Closet_2","Closet"
"Appliance_00006091","SITE_01882","Room_00022812","Dryer","No",2007,,"MU2216272","Estate","Eed4300tq0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006092","SITE_01883","Room_00022821","Dryer","No",2016,,"ZG712626C","General Electric","Gtx22eask0ww","No","Yes","No","Electric","No","No","Yes","No","N/A","Hall_1","Hall"
"Appliance_00006093","SITE_01885","Room_00022832","Dryer","No",2011,,"M14619904","Whirlpool","WED9151YW0","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Bathroom_6","Bathroom"
"Appliance_00006094","SITE_01887","Room_00022853","Dryer","No",2008,,"SR743673A","General Electric","DPSQ495ET4WW","No","Yes","No","Electric","No","No","Yes","No","N/A","Other_1","Other"
"Appliance_00006095","SITE_01889","Room_00022877","Dryer","No",,"Unknown","Unknown","Unknown","Unknown","No","Yes","Unknown","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005488","SITE_01891","Room_00022901","Dryer","Unknown",,"Unknown","Unknown","Kenmore","76702690","No","Yes","Unknown","Electric","Yes","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005573","SITE_01892","Room_00022915","Dryer","Unknown",,"Unknown","Unknown","Kenmore","110.67741600","No","Yes","Yes","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005564","SITE_01893","Room_00022937","Dryer","Unknown",,"Unknown","Unknown","Maytag","MDE3000AYA","No","Yes","No","Electric","No","No","Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00005736","SITE_01894","Room_00022951","Dryer","Unknown",,"Unknown","Unknown","Maytag","747G","Unknown","Yes","Yes","Electric","Unknown","No","Yes","No","N/A","Bathroom_1","Bathroom"
